N,id,length,strc
0,8,12,((((...)))).
1,1,16,(((((......)))))
2,23,17,((....)).((....))
3,26,26,..((((((((.....)).))))))..
4,15,30,(((((.....))..((.........)))))
5,30,31,.(((((((((((...)))))....)))))).
6,88,34,....((((((((.(....)).).).)))))....
7,41,35,((....)).((....)).((....)).((....))
8,66,36,.((.((.((..((.(...).)).))..))....)).
9,11,36,((((((.((((((((....))))).)).).))))))
10,3,36,((((((.((((....))))))).)))..........
11,57,36,((.(..(.(....).(....).)..).(....).))
12,40,38,..((((((((.....))))((((.....))))))))..
13,65,40,.(((((........)((((....))))..)))).......
14,20,42,(((((((.(.(.(.(((((((....)))))))))))))))))
15,33,45,.......(.(.(.(.(.((.((.(....).)).)).).).).).)
16,10,45,..........((((....))))((((....))))((((...))))
17,47,50,((((......(((((...))).((....)).........)).....))))
18,62,53,.((.((.((.((..((..((.((...))..)).)).))..))..))....)).
19,27,57,.....(((((.(.(.((.(.(((((((((....))))))))))))))))))).....
20,25,62,(((.....(((.....(((.....(((.....(((........))).))).))).))).)))
21,67,61,......(.........((((.....)))).........)......................
22,44,63,.....(((.(((((....)).)))(((.((....))))).)))....................
23,45,63,(((((((((....))))(((((....)))))(((((....)))))((((....))))))))).
24,61,67,.....((.((.((...)).((...))...)))).((.((.((...)).((...))...)))).....
25,13,67,((((((((((((((((((((((((((...))))))....)))))))....))))))....)))))))
26,59,68,.....((((((.((((((((....))))))).)))((((((((((....)))))))))))))).....
27,18,67,((((((.....(((....(((...(((((.............)))))....)))..)))..))))))
28,72,73,..((((((((.......(.((((((....)))))).(((((((....))))))).).......))))))))..
29,75,75,......(((......((((..(....(((........)))....).....)))).......)))...........
30,52,80,.((......((......))......((......((......))......((......))......))......)).....
31,95,82,..(((((((((((((....)))))(((((....))))))))((((((((....)))))(((((....)))))))))))))..
32,43,85,.....(((((..((..((..(((..(((..((..((...)).)).))).))).)).)).))))).....................
33,71,88,....((....((....((....((..((..((...))..))....))......)).......)).........)).............
34,54,92,(((((((((....)))))(((((....)))))(((((....)))))(((((....)))))(((((....)))))(((((....)))))))))
35,34,96,.....((((.(((((....))))).(((....))).)).))....((((.(((....))).(((....))).))))....................
36,89,97,......((.((..((..(...(.((.((....))))..)...(.((..((....))..))..)...).))..)))).....................
37,87,97,....((((((((....((..(...................)..((...((....))...((....))........))......))))))))))....
38,46,97,.....((((((((((((....))))((((....))))))))((((((((....))))((((....))))))))))))....................
39,14,98,.....((...((....))...((....))...((....))...((....))...((....))...((....))...))....................
40,92,100,.......((.((.((...)).((...))...)))).((.((.((...)).((...))...)))).((.((.((...)).((...))...)))).......
41,79,101,......(.((((.((((....(...((((.(....).))))...)))))..((......((((....)))))).)))).).....................
42,49,101,.....(((.(..(.(((((.((((.((...)))).))))((((((...)).))))..(((...)))...))).)..).)))....................
43,5,101,..(.(..((((((....))))))..).)......((((..(((.(((((((((....)))))....)))))))))))..((((((((....))))))))..
