,ID,target
0,PKB00088,...........((((((((...[[[[[[)))).))))..................]]]]]].
1,PKB00259,.((((((.....((((....))))[[[[[))))))................]]]]].
2,PKB00208,.((((((((((((((((..))((((....))))...[[[[[[[.)))))))..))))))).....]]]]]]].
3,PKB00189,.((((.[[[[[[[))))...]]]]]]].
4,PKB00218,............((((((.((((((....[[[[[[[))))))))))))...............]]]]]]]..
5,PKB00098,...........((((((.((.[[[[[[[))))))))..................]]]]]]].
6,PKB00309,......................(((((([..[.[[[...[[....[[....[[[[[[[[.[.[[.....[[[[....)))))).....]]]]...]]].]]]]]]]]...]]...]].....]]]..]..]..............
7,PKB00269,.(((((((.......((((((((......))))))))....[[[[[)))))))....]]]]]....
8,PKB00329,(((((((.....[[[.[[[[[(((.[[....))))))))))]].((((((((((....))))))))))......]]]]]]]]
9,PKB00238,.((((((((...((((((((...[[[[[.))))))))....))......((((......)))))))))).........]]]]].
10,PKB00228,.(((((((((......((((((((((..........[[[[[[[......))))))))))....)))))))))..]]]]]]].
11,PKB00339,(((((((.[[[[[[[[(((.[[....))))))))))]]....(((((....))))).....]]]]]]]]
12,PKB00279,.(((((..[[[))))).]]].
13,PKB00268,.(((((((...[[[[.)))))))...........]]]]..
14,PKB00328,(((((((.....[[[.[[[[[(((.[[....))))))))))]].((((((.(((...))).))).))).....]]]]]]]]
15,PKB00239,.((((..(((((((....[[[[[[[))))).))...))))...(((..((((((...)))))))))]]]]]]].......
16,PKB00229,..((((..((((....)))).....[[[[.[[[[.))))(((((.....)))))...]]]].]]]].
17,PKB00338,(((((((..[[[[[[[(((..[....))))))))))].(..((((....)))).)....]]]]]]]
18,PKB00278,.((((((...[[[..))))))....]]].
19,PKB00089,.((((((((..[[[[)))))))).....]]]].
20,PKB00258,.............(((((((((((...[[[[[.)))))))))))..........]]]]].
21,PKB00198,.((((..[[[[[)))).........]]]]]..
22,PKB00209,.((((((((((((((((..))((((....))))...[[[[[[[.)))))))..))))))).......]]]]]]]..
23,PKB00219,.(((((((((......(((((((((..........[[[[[[........)))))))))....)))))))))...]]]]]]...
24,PKB00188,.(((..[[[[[)))...]]]]].
25,PKB00248,.((((((.....[[[((((....(((((((.....))))))).))))))))))........]]]..
26,PKB00308,..(((((.....((((((((....))))))))..[[[[.[[[[[[(((....))))))))........]]]].]]]]]].
27,PKB00099,...........((((((((.[[[[[[[)))).))))..................]]]]]]]..
28,PKB00082,..(((...[[[[)))......]]]].
29,PKB00313,.............((((([[...[[[..[[[..[[......[[[[[[[[[[..[[[[..[[[[....))))).........]]]].]]]]]]]]]]]]]]....]]]]]...]]]....]].........
30,PKB00253,...........((((((((((((((...[[[[[)))))))))))))).............................]]]]].
31,PKB00342,(((((((.........[[[[[[[(((.[[....))))))))))]]...((((((((((.........))))))))))....]]]]]]]
32,PKB00193,.(.((.((((((((..(((((((....[[.[[[[))))))))))))))))))..]]]].]](((..(((.....))).))).
33,PKB00202,.((((...[[[[[[[)))).......]]]]]]].
34,PKB00160,.(((((...[[[[[))))).......]]]]].
35,PKB00071,(((((((.(((((........[[[[....[[[[....{{{{.))))))))))))..........................]]]].....]]]]...........}}}}
36,PKB00131,(((((..[[[[[[))))).....((((((......)))))).]]]]]]
37,PKB00236,.......((((((([[[[[[[[..[[[[[..[[[[[....[[[[[[[[..[[[..[[[[....))))))).......]]]].]]]]]]]]]]]...]]]]].]]]]]....]]].]]]]]
38,PKB00267,.(((((((((.......((((((((....))))))))[[[[[)))))))))..............]]]]]..
39,PKB00327,(((((((......[[[[[[[[(((.[[....))))))))))]]..((((((.((....)).)))))).......]]]]]]]]
40,PKB00294,..(((.[[[[[[)))...]]]]]].
41,PKB00045,.............((((((..[[[[))))))......]]]]
42,PKB00154,.(((((.[[[[[)))))..]]]]]..
43,PKB00004,...............[[[[[..((((((]]]]]...........))))))
44,PKB00144,.((((((((....[[[[((((.....((((((((.....)))))))))))))))))))).......]]]].
45,PKB00055,((((.....[[[[[))))......].]]]]
46,PKB00284,..((((..[[[[)))).....]]]].....
47,PKB00337,(((((((..[[[[[[[[(((.[[....))))))))))]].((((((((((..(((((((....(....)....)))))))..)))))))))).....].]]]]]]]
48,PKB00277,.((((((...[[[[[..)).)))).......]]]]].
49,PKB00226,.((((..((((....)))).....[[[[.[[[[.))))((((.....))))...]]]].]]]].
50,PKB00121,.(((..[[[[[)))......]]]]].
51,PKB00170,.(((....(((((((((((((((.........[[[[[[[.[[[.))))))))))))))))))..]]].]]]]]]].
52,PKB00030,...............(((...[[[[[)))...]]]]]....
53,PKB00212,.((((..((((....)))).....[[[[.[[[[[))))((((.....))))..]]]]].]]]].
54,PKB00183,.(((.[[[[[[[)))....]]]]]]].
55,PKB00243,.((((((((.....(((((.......(((((((((........[[[[[[[[[)))))))))..)))))....))))).))).............................]]].]]]]]].
56,PKB00303,.(((((....(((((.((....)).)))))...[[[.[[[[[[(((....))))))))........]]]]]]]]].
57,PKB00092,.(((((.[[[[[)))))....]]]]].
58,PKB00263,.(((((((......(((((....))))).[[[[.)))))))................]]]].
59,PKB00323,(((((((.....(((((.(((((((....))).)))).)))))...[[[[.[[[[[[[(((.[[....))))))))))]]...((((((((((((..((((((.(((((((((.....))))))))).....((((...))))))))))...)))))))))))).....]]]]]]]]]]]
60,PKB00232,.(((..((((....))))......[[[.[[[[.)))..(((.....)))....]]]].]]].
61,PKB00150,.((((...[[[[.(((((........)))))))))..(((((.]]]]))))).
62,PKB00010,..............(((...[[[[[[)))..]]]]]]...
63,PKB00101,.((((.[[[[[[))))...]]]]]].
64,PKB00206,...((((((.............[[[[[))))))....]]]]]...
65,PKB00197,..((((.[[[[[..)))).....]]]]].
66,PKB00086,.(((.[[[[[)))...]]]]].
67,PKB00257,............((((((((((...[[[[[[[[[)))))...))))).........]]]]]]]]].
68,PKB00075,.(((((((..[[[[[[[{{{.[[.....}}})))))))]]....(((((((((((((...))))))))).)))).....]]]]]]]..
69,PKB00135,..(((((((..((((((..[[[[[[)))))).....(((((.((((((.....))))))....))))))))))))(((((((((....))))))))).........]]]]]]....
70,PKB00164,.((((((((..((((((..[[[[[.))))))....((((((......)))))))))))))).((((((.....))))))........]]]]]....
71,PKB00174,........((((((((((((((...........[[[[[[[[((((((..(((((......)))))))))))((((((....))))))......))))))))).)))))...........]]]]]]]].
72,PKB00125,.(((..[[[[[[)))...]]]]]].
73,PKB00065,((((((((...[[[[[[[......))).......]]]]]]])))))
74,PKB00247,.(((..[[[[)))..]]]]...
75,PKB00187,.((((...[[[[))))......]]]].
76,PKB00216,.((((...(((((.[[[[[)))))..)))).........]]]]].
77,PKB00051,((((...(((((.[[[[[)))))...))))...........]]]]]
78,PKB00280,.............(((((((.....[[[[[[[.......)))))))..............]]]]]]].
79,PKB00140,.((((((((....[[[[((((((.((..(((.....))).)).)))))))))))))).......]]]].
80,PKB00222,.((((((((......(((((((((..........[[[[[[........)))))))))....))))))))..]]]]]]...
81,PKB00333,((((((..[[[[[[[(((.[[....)))))))))]]...(((((((...))))))).....]]]]]]]
82,PKB00273,.(((((...........[[[[[[.............)))))]]]]]].
83,PKB00262,.((((((((...((((.....)))).[[[))))))))................]]]
84,PKB00233,............((((((.((((((....[[[[[[[))))))))))))...............]]]]]]].
85,PKB00151,.((((....[[[[[[[))))...]]]]]]]..
86,PKB00100,.((((((..[[[[[[))))))...]]]]]].
87,PKB00207,...((((((............[[[[[[))))))....]]]]]]..
88,PKB00074,((((.[[[[[[[)))).....]]]]]]]
89,PKB00134,....(((((((..((((((..[[[[[[)))))).......((((((....))))))..(((((((((((.....)))))))....))))))))))).((((((((......))))))))........]]]]]]....
90,PKB00025,...............(((..[[[[)))..]]]]....
91,PKB00165,.(((.[[[[[)))....]]]]].
92,PKB00175,.(((((.[[[[[[[)))))..............................]]]]]]].
93,PKB00124,.(((.[[[[[[[)))......]]]]]]].
94,PKB00064,........(((((...[[[.)))))..]]]..
95,PKB00246,((.((((.....[[[[))))..))......]]]]
96,PKB00306,.(((((....((((.(((....)))..))))..[[[[.[[[[[[(((....)))))))).......]]]].]]]]]].
97,PKB00217,.............(((((((((((...[[[[[[...)))))))))))...................]]]]]].
98,PKB00186,.(((((.[[[[[..)))))....]]]]].
99,PKB00050,(((((((((((..(((...[[[[[)))..))))....)))))))..........]]]]]
100,PKB00281,.............(((((..[[[.))))).........]]]..
101,PKB00110,.((((....[[[[[[))))......].]]]]].
102,PKB00001,..............[[[[[[.....(((]]]]]]....)))......
103,PKB00141,.(((((((((....[[[.(((((...((((.....))))....)))))))))))))).........]]].
104,PKB00332,(((((((..[[[[[[[(((..[....))))))))))]....(((((....))))).....].]]]]]]
105,PKB00272,.((((((((.....(((((.((((....)))))))))[[[[[[)))))))).....]]]]]]....
106,PKB00312,.....(((((..[[[[[[[...........[[[[[....[[[[........[[[[....(((...))).))))).((((.......)))).]]]].......]].]].]]]]]]]].]]]].........
107,PKB00083,.(((.[[[[[[)))...]]]]]].
108,PKB00252,((((((.(((((...((((((....))))))))))).[[[[[[[[[.....)))))).....(((((((......)))))))...]]]]]]]]].((((((...))))))
109,PKB00192,..((((((((..[[[[[[[[[..))))))))]]]]]]]]]......
110,PKB00070,((((((..((.(((.[[[.[[[))).))..))))))...........]]]..]]]
111,PKB00237,.(((((..[[[[)))))......]]]].(((((((.(((((((((.((((.......))))......))))))))).)))).)))...........
112,PKB00266,.(((((((......[[[[)))))))...............]]]]...
113,PKB00326,(((((((.[[[[[[[[(((..[....))))))))))].((((.....))))....]]]]]]]]
114,PKB00104,.(((.[[[[[[.)))....]]]]]].
115,PKB00044,............(((((..[[[.)))))........]]]
116,PKB00155,.(((.[[[[[)))..]]]]].
117,PKB00015,..............(((..[[[[[[)))...]]]]]]....
118,PKB00005,...............(((....[[[[[)))...]]]]]...
119,PKB00145,.(((((..[[[[[[(((((((.........)))))))))))).........]]]]]].
120,PKB00054,(((.[[[[[[)))...]]]]]]
121,PKB00285,..((((..[[[[)))).....]]]]..
122,PKB00336,(((((((..[[[[[[[[(((.[[....))))))))))]].((((((((((..((((..((.(.(....).).))..))))..)))))))))).....].]]]]]]]
123,PKB00276,.(((((((((((((............)))))))).........[[[[[....(((...))))))))]]]]]..
124,PKB00227,.(((((...((((.[[[[[))))..)))))........]]]]].
125,PKB00120,.((((((.[[[[[[)))))).........]]]]]].
126,PKB00171,............((((((((((((...[[[[[)))))))))))).......(((((((..]]]]].)))))))..
127,PKB00031,...............(((...[[[[[)))...]]]]]...
128,PKB00213,.(((((...((((.[[[[[))))..))))).........]]]]].
129,PKB00242,.((((...[[[[[[[[)))).....]]]]]]]].
130,PKB00302,(((((((...[[[[.)))))))....]]]].
131,PKB00103,.(((.[[[[)))........]]]].
132,PKB00043,.............((((..[[[[))))........]]]]
133,PKB00152,.(((.[[[[[[[)))...]]]]]]].
134,PKB00012,..............(((...[[[[[)))...]]]]]....
135,PKB00230,.((((.((((.((((.[[[[[)))))).)).)))).......]]]]].
136,PKB00261,.((((((.....(((((....)))))[[[[[))))))................]]]]].
137,PKB00077,.(((((.((....[.[[[[[..)).))))).(((((((.....)))))))........]]]]]].
138,PKB00137,.(((((((..((((((..[[[[[.)))))).......(((((((....)))))))..(((((((((((......)))))))....)))))))))))((((((((....))))))))........]]]]]....
139,PKB00315,.((((((..[[[[[[[(((..[....))))))))).].(((((((....)))))))....]]]]]]]
140,PKB00084,.((((.....[[[[[))))......].]]]].
141,PKB00255,.((((((((...............[[[[[[[[[[.))))))))..]]]]]]]]]].
142,PKB00204,.((((...[[[[[))))......]]]]].
143,PKB00214,.(((((((((.......((((((((((........[[[[[......)))))))))).....)))))))))...]]]]]...
144,PKB00245,.((((((..[[[[[)))))).........]]]]].
145,PKB00094,.((((.....[[[[.))))........]]]]..
146,PKB00305,.(((((....((((((((....))).)))))..[[[[.[[[[[[(((....)))))))).........]]]].]]]]]].
147,PKB00127,.............(((((((((((..[[[[[[.))))))))))).........]]]]]]...
148,PKB00067,(((((..[[[.[[))))).......]]]]]
149,PKB00176,..(((((..[[[[[[)))))......]]]]]].
150,PKB00271,.((((.....((((.......))))[[[[[[))))((((((....))))))..................]]]]]]
151,PKB00220,.((((..((((....)))).....[[[[.[[[[[)))).(((.....)))...]]]]].]]]].
152,PKB00002,.............[[[[[..((((]]]]]......))))...........
153,PKB00142,.(((((((....[[[[[((((((...(((.(((.....))).)))))))))))))))).......]]]]].
154,PKB00053,..(((.[[[[))).....]]]]
155,PKB00282,.((((..[[[[)))).....]]]]....
156,PKB00073,.(((((.[[[[[[[))))).......]]]]]]]
157,PKB00022,...............(((...[[[[)))...]]]]....
158,PKB00162,.((((((.[[[[[))))))..........]]]]].
159,PKB00340,(((((((.[[[[[[[[(((.[[.....))))))))))]]....(((....))).....].]]]]]]]
160,PKB00191,.((((((((((((((((...[[[[))))))....))))))))))..((((((((((((....))))))))))))....(((((((....))))))).........]]]]....
161,PKB00080,..............(((((.[[[[[[[.)))))........]]]]]]].
162,PKB00311,(((((([[.[[[[[[[[[[[[..[[[[[.[[[[[[[[[[...[[[..[[[[....))))))........]]]].]]].]]]]]]]]]]]]]]].]]]]]]]..]]].]].]]........
163,PKB00251,.(((..[[[[[.))).....]]]]].
164,PKB00107,..............((((((.[[[[[[))))))............]]]]]].
165,PKB00296,..(((.[[[.[[)))...]].]]]..
166,PKB00047,...........((((((((.[[[[[[[)))).))))..................]]]]]]]
167,PKB00265,.((((((((.....((((....))))[[[[[.))))))))................]]]]]
168,PKB00325,(((((((..[[[[[[[[(((.[[.....))))))))))]]...(((((((.(...).))))))).....].]]]]]]]
169,PKB00234,.((((((..(((...[[[[[[[..))).(((((((((((((((....))))))))))))))).)))))).......]]]]]]].
170,PKB00224,.((((...((((.[[[[[))))..)))).........]]]]].
171,PKB00335,(((((((..[[.[[[[(((.[[....))))))))))]]((..(((((((((.....(((((((...........)).))))).)))))))))))....]]]]]]
172,PKB00275,.((((((.......[[[[[[)))))).....(((((((.....(((((((....)))))))......)))))))....]]]]]].
173,PKB00057,(((((((....[[[[((((.....((((((((.....))))))))))))))))))).......]]]]
174,PKB00286,..((((...[[[)))).....]]]......
175,PKB00006,...............(((...[[[[[[)))...]]]]]]...
176,PKB00146,.(((((...[[[[[((.(((...))))))))))...........]]]]].
177,PKB00241,.(((((....[[[[[[)))))......]]]]]].
178,PKB00301,.......(((((..[[[[..)))))....]]]]....
179,PKB00210,.((((((..(((...[[[[[[[..))).((((((((((....)))))).((((....))))...)))).)))))).......]]]]]]].
180,PKB00181,(((((((((((..))(((......)))((.[[[[[[.))))))))))).]]]]]].
181,PKB00172,.((((((.........[[[[[[))))))...]]]]]]..
182,PKB00032,.............(((..[[[[[[)))..]]]]]]...
183,PKB00123,.((((..[[[[[[))))..]]]]]].
184,PKB00072,((((.((((((.[[[[[[[))))))))))...............................]]]]]]]
185,PKB00132,(((((..[[[[[))))).....(((((((.......))))))).]]]]]
186,PKB00163,(((.((((((.[[[[.)))))).....((((.]]]]...))))))).
187,PKB00341,(((((((......[[[.[[[[[(((.[[....))))))))))]]...(((((.....)))))......]]]]]]]]
188,PKB00201,..(((.[[[[[[[))).....]]]]]]].
189,PKB00190,.((((...(((((.[[[[[)))))..)))).........]]]]]...
190,PKB00310,........(((((([[.[.[[[[[[[[[...[[.[..[[[[[.[[[[...[[[..[[[[[[..))))))......]]]]]].]]].]]]].]]]]].].]]..]]]].]]]].].]]]............
191,PKB00081,(((....[[[[[)))......]]]]]
192,PKB00157,.(((...[[[[[[)))...]]]]]].
193,PKB00017,...............(((....[[[[[)))...]]]]]....
194,PKB00297,.(((((..[[[[[[[))))).....]]]]]]].
195,PKB00106,.............(((((((((((.[[[[[[[)))))))))))...........]]]]]]].
196,PKB00046,............(((((..[[[[))))).......]]]]
197,PKB00324,(((((((.....((((((((.((..........))...))))))))...[[[[.[[[[[[(((.[[....))))))))))]]...((((((((((....((((....(((((((...............))))))).(((((....))))).)))))))))))))).....]]]]]]]]]]
198,PKB00235,((((((....[[[[[)))))).(((((.......)))))..........(((((((.........)))))))]]]]]
199,PKB00225,.(((((((((......((((((((.........[[[[[[[........))))))))....)))))))))..]]]]]]]...
